1320,1560
17640,22560
40680,42000
42120,43080
43200,46080
67560,68760
68880,72960
94560,95880
96120,96600
97080,99960
117000,118200
118320,122160
122400,122760
140640,141720
141960,142920
143040,145920
163440,164760
165840,167400
167760,168960
185880,188400
188640,191520
208920,210360
210600,211680
211920,212160
212280,214680
233520,234480
234840,238800
256800,262440
280800,286800
300840,300960
304080,305400
305640,309480
326640,327840
327960,328920
329040,331920
345480,345600
349920,350880
351240,354840
368400,368520
371040,375960
380040,380160
392040,396840
407520,407640
411600,416760
432600,437760
452400,453600
453840,454800
455040,457680
462960,463320
464280,464400
472560,473760
474120,480000
492600,492840
494640,495360
495480,499320
